TRACKER,MADE A COPY TO SERVE AS A CHECK LIST [COPY AS OF 10/03/2023 10:11AM,,,,,,,,,,,
Not Done - 2,Cells for questions that are still incomplete are shaded red.,,Make sure to apply corrections from this checklist before applying corrections from other checklists!                           ,,,,,,,,,
Done - 441,,,,,,,,,,,,
No Key - 31,,,,,,,,,,,,
Status,Location in Database,,Item #,Statement Type (Question/Reply),English,Filipino,,,Cebuano,Actual in the DB,Cebuano (fill in the blanks),firestore document name
,Collection,Document,,,,Version 1,Version 2,Version 3,Version 1,,,
Done,allergy-module,allergy-confirmation,1,Question,Do you have an allergy with _____?,May allergy ka ba sa _____?,Allergic ka ba sa ____?,Allergic ka ba sa _____?,Alerdyik ba ka ug _____?,,"balahibo sa mananap
abog
pagkaon
tambal
polen",confirm-allergy-x
Done,,,,Reply,"1. Yes
2. No","1. Meron
2. Wala",,1. Oo     2. Hindi,1. Oo     2. Dili,,,
Done,,animal-type,2,Question,Which animal fur are you allergic to?,Sa anong balahibo ng hayop ka allergic?,Sa balahibo ng aling hayop ka allergic?,Sa anong hayop na may balahibo ka allergic?,Sa unsa na mananap nga naay balhibo ka alerdyik?,,,get-animal
Done,,,,Reply,"1. Cat
2. Dog","1. Pusa
2. Aso",,"1. Pusa
2. Aso","1. Iring
2. Iro",,,
Done,,drug-what,3,Question,Which medicines are these?,Aling mga gamot ito?,,Alin sa mga gamot na ito?,Unsa ang imong gitambal sa imong alerdyi?,,,get-drug
Done,,,,Reply,"1. Aspirin
2. Antibiotics","1. Aspirin
2. Antibiotics",,"1. Aspirin
2. Antibiotics","1. Aspirin
2. Antibiotics",,,
Done,,food-type,4,Question,Which food are you allergic to?,Saang pagkain ka allergic?,,Alin sa mga pagkain ka allergic?,Sa unsang klase sa pagkaon ka adunay alerdyi?,,,get-food-type
Done,,,,Reply,"1. Nuts
2. Dairy
3. Eggs
4. Seafood
5. Others","1. Mani
2. Gatas
3. Itlog
4. Pagkaing dagat
5. Iba pa",,"1. Mani
2. Gatas
3. Itlog
4. Hipon
5. Iba pa ....     6. Wala ","1. Mani
2. Gatas
3. Itlog
4. Pagkaon gikan sa dagat
5. Uban pa",,,
Done,,interventions-meds,5,Question,What did you do to relieve the symptoms?,Anong mga ginawa mo para marelieve ang iyong pakiramdam?,,Anong ginagawa mo para bumuting pakiramdam ng katawan mo?,Unsa imong ginabuhat para maayo ang mga sintomas sa alerdyi?,,,get-medicine-remedy
Done,,,,Reply,"1. Liniment
2. Stayed away from the allergens
3. Other interventions","1. Pamahid
2. Lumayo sa mga allergens
3. Iba pang interbensyon","1. Pamahid
2. Umiwas sa mga allergen
3. Iba pang interbensyon","1. May ipinapahid ako
2. Iniiwasan ang bagay na allergic ako 
3. Sinusubukan ang ibang paraan","1. Aduna koy gipahid
2. Molikay ko ug mga butang na alerdyic ko
3. Mosuway ko ug lain nga paagi",,,
Done,,side-effect,6,Question,What side effects do you feel?,Anong side effect ang nararamdaman mo?,,Anong nangyayari kapag umaatakeng allergy mo?,Unsay mahitabo kung mo-andar imong alerdyi?,,,get-allergy-symptom
Done,,,,Reply,"1. Difficulty breathing
2. Rashes
3. Itching
4. Swelling
5. Redness
6. Sneezing
7. Runny nose
8. Cough
9. Fatigue
10. Headache
11. Nausea and vomiting","1. Hirap sa paghinga
2. Pamamantal
3. Pangangati
4. Pamamaga
5. Pamumula
6. Pagbahing
7. Tumutulong sipon
8. Ubo
9. Pagod
10. Sakit sa ulo
11. Pagduduwal at pagsusuka",,"1. Nahihirapang huminga
2. Namamantal
3. Nangangati
4. Namamaga
5. Namumula
6. Nababahing
7. Sinisipon
8. Inuubo
9. Nanlalambot/ Napapagod
10. Nanakit ang ulo
11. Naduduwal at/o nasusuka","1. Maglisod ug ginhawa
2. Magpuwa-puwa
3. Mangatol
4. Maghubag
5. Mamuwa
6. Maghatsing
7. Sipon-non
8. Ubo-hon
9. Kapoyan / Bug-at ang lawas
10. Sakit ang ulo
11. Kasukaon or mosuka ko",,,
Db diff,,side-effect-duration,7,Question,How long does the side effect last?,Gaano katagal ang side effect na ito?,Gaano katagal mong nararamdaman ang side effect na ito?,Gaano katagal mo naranasan ang epekto ng allergy sa katawan mo? ,Unsay gidugayon na imong masinati ang epekto sa alerdyi sa imong lawas?,Unsay kadugayon ni nimo nabati,,get-allergy-symptom-duration
Db diff,,,,Reply,"1. Hours
2. Days
3. Weeks
4. Month
5. More than a month","1. Oras
2. Mga ilang araw
3. Linggo
4. Buwan
5. Mahigit isang buwan",,"1. Ilang oras 
2. Ilang araw
3. Ilang Linggo
4. Isang buwan
5. Lagpas isang buwan","1. Pipila ka oras
2. Pipila ka adlaw
3. Pipila ka semana
4. Usa ka buwan
5. Lapas usa ka buwan","1. Wala pay 8 ka oras
2. Lapas na sa 8 oras
3. Lapas na sa 1 ka adlaw
4. Lapas na sa 3 ka adlaw
5. Lapas na sa 1 ka semana
6. Lagpas na sa 2 ka semana",,
Db diff,,symptoms-relieved,8,Question,Were the symptoms relieved?,Na-relieve ba ang mga sintomas?,Napaginhawa ba ang mga sintomas?,Nawala/ nabawasan bang epekto ng allergy sa katawan mo? ,Nawala/ nakuhaan ba ang epekto ng alerdyi sa imong lawas?,Nawala ba ang imong gipamati?,,confirm-symptom-relief
Db diff,,,,Reply,"1. Yes
2. No","1. Oo
2. Hindi",,"1. Oo
2. Medyo  3. Hindi","1. Oo
2. Basin / Mura
3. Dili ","1. Oo
2. Dili",,
Db diff,buto-and-muscle-module,buto-x-causes,9,Question,What is the cause of the pain in your muscles?,Ano ang sanhi sa pananakit ng iyong mga kalamnan?,Ano ang sanhi ng pananakit ng iyong mga kalamnan?,Bakit masakit ang mga kalamnan mo?,Nganong nagsakit man ang imong lawas?,NOT USED,,N/A
Db diff,,,,Reply,"1. Excessive exercise
2. Trauma/Injury
3. Pre-existing condition
4. Fever
5. I do not know","1. Labis na ehersisyo
2. Trauma/Injury
3. Pre-existing na kondisyon
4. Lagnat
5. Hindi ko alam","1. Labis na ehersisyo
2. Trauma/Injury
3. Dati pang kondisyon
4. Lagnat
5. Hindi ko alam","1. Napasobra ng ehersisyo
2. Nabugbog/ nabunggo
3. May dati ng sakit
4. Nilalagnat
5. Hindi alam","1. Nasobrahan ug exercise
2. Napakong or naigo
3. Sakit na daan
4. Gihilantan ko
5. Wala ko kahibalo",NOT USED,,N/A
Done,,buto-x-confirmation,10,Question,Do you feel any pain in your body while ____?,Mayroon ka bang nararamdamang sakit sa iyong katawan habang _____?,,May masakit/ makirot ba sa katawan mo kapag ----?  ,Aduna ba kay nabati nga kasakit sa imong lawas kung mag _________?,,"1. nagdagan?
2. naglingkod sa dugay nga panahon?
3. paglakaw?",confirm-bone-pain-x
Db diff,,,,Reply,"1. Yes, there is
2. None
3. I do not know","1. Meron
2. Wala
3. Hindi ko alam",,"1. Oo, meron
2. Wala naman
3. Hindi ko alam","1. Oo, aduna
2. Wala ra
3. Wala ko kahibalo",3. Wala ko kahinumdum,,
No Key,,buto-x-doestakemeds,11,Question,Have you taken any medication for this?,Nakainom ka ba ng anumang gamot para dito?,,May ininom ka bang gamot para rito?,Naa ba kay giinom na tambal para ani?,,,
No Key,,,,Reply,"1. Yes
2. No
3. I forgot
4. I do not know","1. Oo
2. Hindi
3. Hindi ko maalala
4. Hindi ko alam",,"1. Meron
2. Wala pa
3. Hindi ako sigurado
4. Hindi ko alam","1. Naa
2. Wala pa
3. Dili ko sigurado
4. Wala ko kahibalo",,,
Done,,buto-x-duration,12,Question,How long have you experienced the pain?,Gaano katagal mo naranasan ang sakit?,,Gaano katagal na itong sumasakit?,Unsa na ang gidugayon nga nag-sakit ni?,,,get-bone-pain-duration
Db diff,,,,Reply,"1. Less than a minute
2. 1 to 10 minutes
3. 11 to 20 minutes
4. More than 20 minutes
5. I do not know","1. Wala pang 1 minuto
2. 1 hanggang 10 minuto
3. 11 hanggang 20 minuto
4. Higit sa 20 minuto
5. Hindi ko alam",,"1.  wala pang 1 minuto
2.  1 - 10 minuto
3.  11- 20 minuto
4.  lagpas 20 minuto
5.  hindi napansin ang oras","1.  wala pay 1 ka minuto
2.  1 - 10 ka minuto
3.  11- 20 ka minuto
4.  lagpas 20 minutos
5.  wala ko kabantay sa oras","1. Wala pay 8 ka oras
2. Lapas na sa 8 oras
3. Lapas na sa 1 ka adlaw
4. Lapas na sa 3 ka adlaw
5. Lapas na sa 1 ka semana
6. Lagpas na sa 2 ka semana",,
Done,,buto-x-lessenorstopped,13,Question,Did you feel relieved after drinking them?,Nawala o naibsan ba ang iyong naramdaman pagkatapos inumin ang mga ito?,,Bumuti bang pakiramdam mo pagkatapos itong inumin?,Nahuwasan ba ang imong pamati paghuman nimo ug inum?,,,
Done,,,,Reply,"1. Yes
2. No
3. A little bit","1. Oo
2. Hindi
3. Medyo",,"1. Oo
2. Medyo
3. Hindi","1. Oo
2. Basin / Mura
3. Dili ",,,
No Key,,buto-x-medtimes,14,Question,How many times have you taken the medication?,Ilang beses mo nainom ang gamot na ito?,Ilang beses mong nainom ang mga gamot na ito?,Ilang beses kang uminom ng gamot?,Kapila ka mo inom ug tambal?,,,
